GRID_CODE,NDVI,RDVI,SR,MSR,OSAVI,MSAVI,MTVI1,MTVI2,MCARI,MCARI1,MCARI2,EVI,LIC1,VOG,VOG2,VOG3,GM1,GM2,TCARI,T_O,CI,TVI,SRPI,NPQI,NPCI,CTR1,CAR,DCABXC,DNCABXC,SIPI,CRI550,CRI700,CRI550M,CRI700M,RCRI550,RCRI700,PSRI,LIC3,PRI,PRI515,PRIM1,PRIM2,PRIM3,PRIM4,PRIN,PRI_CI,B,G,R,BGI1,BGI2,BF1,BF2,BF3,BF4,BF5,BRI1,BRI2,RGI,RARS,LIC2,HI,CUR,PSSRA,PSSRB,PSSRC,PSNDC,FLD2,TC,CWSIv,Cab,Car,Ant,LAI,LIDFa,Fi,PLOT,ZONE,X,Y,Res_qPCR,DS_FEB_2016,qPCR,Sympt_FEB_17,Class_FEB_17,SEV,SEV_A,Year
1774,0.707781004,0.439585701,5.844182036,1.417474309,0.58031555,0.452769982,0.384172303,0.397128538,0.033387762,0.480215379,0.397128538,0.466456576,0.697052381,1.64599896,-0.174992387,-0.193035603,5.964290775,3.536388515,0.055412516,0.095486872,2.583734496,14.49922679,0.453392645,-0.002252296,0.376090629,2.811091428,0.719840165,3.407496899,51.19488395,0.777592043,8.538257076,16.58174214,6.963509064,15.00699413,21.78707685,24.43732394,0.088052587,0.102181083,0.078041972,-0.085949461,-0.109880225,0.091981333,0.113225104,-0.321516374,0.11722641,0.216773058,0.911825295,0.897966995,1.514464895,0.538212899,0.55190076,1.023731878,1.021309352,1.021748416,1.004852801,0.97519869,0.41177754,0.42224989,1.30704773,7.974409556,0.409788916,-0.322689333,1.023430304,5.60180134,5.897298088,11.25141351,0.836753531,2.566282121,32.54068966,0.526099115,43.56367166,8.0698049,6.039852136,1.860700946,49.63068401,0.066059785,3,B,18.10782839,40.41688289,neg,0,0,0,TN,0,0,2016
1775,0.708962631,0.427588585,5.87196977,1.423214759,0.571164318,0.434448864,0.365055242,0.383589851,0.033924777,0.456319053,0.383589851,0.450657289,0.697475437,1.620443787,-0.165079686,-0.181820277,5.88038821,3.528250568,0.055559469,0.097274055,2.536087231,13.91314757,0.450288689,-0.000439358,0.379035785,2.850098904,0.699997225,3.425624383,51.04609385,0.779788928,10.07088914,18.25191068,8.251869121,16.43289065,24.16911704,26.71088971,0.088777253,0.098849642,0.08214772,-0.095712312,-0.122251682,0.092908344,0.107342796,-0.315294976,0.124795208,0.226222813,0.910508102,0.923687193,1.539470958,0.539410836,0.524926111,1.046155319,1.058057572,1.057334972,1.04991431,1.027593835,0.423806272,0.412425861,1.272776906,8.200573096,0.403657964,-0.320232002,1.021374249,5.611033438,5.900988883,11.5930606,0.841182373,2.353392723,32.3876,0.507339967,44.80420061,7.952057442,5.812770524,1.851186519,52.97871617,0.056713941,3,B,18.1077277,40.41684722,pos,1,1,1,TP,1,1,2016
1777,0.675940801,0.397342074,5.171711862,1.274139807,0.535936968,0.394259674,0.333424017,0.347393313,0.033697034,0.416780021,0.347393313,0.412048684,0.668008185,1.565823378,-0.143722155,-0.157018858,4.956227137,3.177982343,0.057842694,0.107928167,2.351258285,12.65905142,0.485265702,-0.024808261,0.346560415,2.706644039,0.722691364,3.223647514,44.63595728,0.749754074,7.909628687,14.53939738,6.458043816,13.08781251,21.07006263,22.97799907,0.085463342,0.119839513,0.076300707,-0.085726288,-0.109684136,0.082351566,0.076044208,-0.304439172,0.127387982,0.180595734,0.901771675,0.966575595,1.507424421,0.513348671,0.547963113,1.035765653,1.016591041,0.993356529,0.965847235,0.936830708,0.426800301,0.455578898,1.202784228,6.645618739,0.44189214,-0.284805109,1.031603554,5.024244902,5.102433951,9.253301317,0.804940873,2.209333879,31.98333333,0.45780234,41.15741637,7.489982378,4.716299293,2.521151271,59.95095617,0.050389757,3,B,18.10753628,40.41678877,neg,0,0,0,TN,0,0,2016
1779,0.736825255,0.444507365,6.59951341,1.568951812,0.593704663,0.456025251,0.387562011,0.415164791,0.035450718,0.484452514,0.415164791,0.472585898,0.728623208,1.672081559,-0.187003154,-0.20710152,5.915234048,3.812964238,0.057909811,0.097539761,2.696474161,14.48085759,0.48368569,-0.015040426,0.347994399,2.764399469,0.705469027,3.290885419,56.88048002,0.796522187,10.19684854,17.48036351,8.27631984,15.55983481,24.23780451,26.53117411,0.07002642,0.09739529,0.075725807,-0.0982571,-0.125515869,0.072234836,0.055952272,-0.296018427,0.107776327,0.234144609,0.902616192,1.018901905,1.580671327,0.505002695,0.515753832,1.044173572,1.042541233,1.02678272,1.005781217,0.979154518,0.435522497,0.444794452,1.159532971,8.215242722,0.433019119,-0.278822553,1.031728488,6.369826968,6.389702954,11.91825519,0.84518033,2.651867716,30.90847826,0.326092817,45.47459334,8.020952121,5.364328316,2.12339199,53.79625442,0.069816993,3,B,18.10735383,40.41672577,pos,0,1,0,FN,1,1,2016
1781,0.688818065,0.423869702,5.427108318,1.329615487,0.561693091,0.432031575,0.367520876,0.377230524,0.032953724,0.459401095,0.377230524,0.439323123,0.679678868,1.592377073,-0.1612379,-0.176647214,5.44277802,3.329832392,0.056264881,0.100170149,2.449918859,13.80745098,0.417710143,-0.037507035,0.410725605,3.140282873,0.701899984,3.272971045,46.21127877,0.768841495,8.836464316,16.06039122,7.224317793,14.4482447,21.57108979,23.85129658,0.09494429,0.102485635,0.081817596,-0.094696685,-0.120833188,0.090969002,0.109153559,-0.316540338,0.129467811,0.209568919,0.885903344,0.91212484,1.49091379,0.468850986,0.514618359,1.058861478,1.022854942,0.989204935,0.953378132,0.911065409,0.368154526,0.404092311,1.273516832,7.483116697,0.38615793,-0.311833954,1.02659594,5.243734187,5.489902788,10.83677357,0.831035038,2.921850684,31.47851852,0.395943844,44.7377833,7.749772052,5.625316233,1.657081889,52.05429656,0.081669245,3,B,18.10715544,40.4166658,pos,0,1,0,FN,0,0,2016
1782,0.72495188,0.448091214,6.27145491,1.504287306,0.592715576,0.463240444,0.403164731,0.422706797,0.036822925,0.503955913,0.422706797,0.474498031,0.717635923,1.645515569,-0.175789394,-0.194154838,5.430311184,3.685332429,0.062537007,0.105509303,2.623404775,14.98305893,0.491379037,-0.053217952,0.341040708,2.797860509,0.722783245,2.970735228,48.88144676,0.784263184,8.42804406,14.23679946,6.837537785,12.64629319,20.6178159,22.50950428,0.066192322,0.106298167,0.066025318,-0.09590576,-0.122404637,0.054149929,0.032893906,-0.293781728,0.094974468,0.195502421,0.899904428,1.052904922,1.551447932,0.44709144,0.528114157,1.022948077,0.979622321,0.929227923,0.88507927,0.846581054,0.402516096,0.475460789,1.110741767,7.394626308,0.454779712,-0.252207557,1.032363874,6.083053976,6.054413224,10.648854,0.828309291,3.105764939,31.05178571,0.343653283,43.49891968,7.885955408,5.140523935,2.078373711,51.98357064,0.089743081,3,B,18.10702982,40.41663089,pos,1,1,1,TP,0,0,2016
1784,0.739998137,0.454791738,6.692252578,1.586938843,0.602976784,0.471427214,0.404558271,0.430060912,0.031751252,0.505697839,0.430060912,0.486424161,0.732998974,1.705929275,-0.201618225,-0.224071534,5.906965087,3.981258664,0.054849361,0.090964299,2.807858572,14.97935856,0.481573268,-0.043353539,0.349916364,2.786495443,0.707519248,3.295147276,56.49902765,0.798624342,9.648266788,16.11305642,7.920638202,14.38542784,23.07072966,25.15971504,0.065957538,0.098521923,0.076205926,-0.09634152,-0.122726629,0.070295502,0.052394058,-0.293840021,0.109969244,0.251936632,0.893983993,1.026977512,1.52371921,0.493603386,0.520141105,1.091206863,1.065257176,1.020915375,0.983976819,0.94897977,0.437254534,0.460762756,1.128869679,8.128238114,0.444374833,-0.258938892,1.02915499,6.490607932,6.49237076,11.79808382,0.843726606,3.337523147,31.40413793,0.386829469,44.04122107,8.079592441,5.373237536,2.225194334,52.65058641,0.099917266,3,B,18.10687429,40.41657927,pos,2,1,1,TP,1,1,2016
1785,0.719547293,0.437000904,6.131327124,1.476151676,0.582148069,0.447141707,0.376848482,0.397389071,0.026160542,0.471060603,0.397389071,0.459214563,0.711730683,1.702297258,-0.200538939,-0.222310972,5.890684355,3.788990543,0.046786498,0.080368725,2.764363918,13.83276005,0.452573407,-0.021395396,0.376866732,2.8160636,0.700721246,3.71515937,57.93529561,0.788300466,9.71771555,17.10383504,8.085974312,15.4720938,23.99354292,26.28629528,0.081477949,0.101090079,0.084508319,-0.092844039,-0.117555394,0.090767385,0.099725107,-0.309745962,0.133187406,0.264735099,0.892015468,0.933924434,1.451957716,0.503980717,0.528882998,1.041802786,1.027818711,1.007207971,0.984896946,0.952915331,0.408869595,0.429072323,1.2326197,8.003479319,0.415139468,-0.28365389,1.025355042,5.937956553,6.152453423,11.77318467,0.843421977,3.475427423,30.85,0.318927066,47.2939472,7.830487387,5.441771813,2.069722432,55.48049867,0.105971264,3,B,18.10678855,40.41655195,pos  ,1,1,1,TP,1,1,2016
1786,0.725510948,0.431896722,6.286265095,1.507242528,0.579812962,0.438309498,0.369575973,0.395392387,0.029589177,0.461969966,0.395392387,0.45523437,0.718136479,1.678793033,-0.194040483,-0.214749755,5.745315351,3.779658842,0.051284306,0.08844974,2.712828508,13.68517058,0.478609058,-0.015903739,0.352622581,2.713823985,0.700653506,3.535517211,58.39108478,0.789477327,10.06987518,17.16597636,8.310928931,15.4070301,24.61004185,26.73148602,0.074214644,0.10219117,0.082786064,-0.094611107,-0.120228348,0.081876375,0.072061645,-0.297491366,0.127206413,0.254820532,0.901033056,0.99130444,1.506844098,0.513300588,0.522794056,1.051579923,1.046731104,1.030917695,1.010903983,0.981840904,0.438556156,0.446667229,1.170432978,7.910282066,0.433825728,-0.271951112,1.029270198,6.095632635,6.149857491,11.5071482,0.840091445,3.07676391,30.79264151,0.311898528,46.67001044,7.884434879,5.001239461,2.238603109,57.33554926,0.088469936,3,B,18.1067068,40.41653145,pos,2,1,1,TP,2,1,2016
1787,0.725001842,0.434916586,6.272775988,1.504551055,0.582162621,0.443069552,0.373880247,0.398298115,0.029097084,0.467350309,0.398298115,0.457460833,0.716284612,1.689395881,-0.194160334,-0.214965163,5.800149996,3.783613063,0.050635693,0.086978605,2.728619873,13.7994583,0.456200699,-0.025263304,0.373437055,2.844668174,0.697797344,3.569635969,58.3867888,0.790855963,10.13070074,17.32627319,8.303094274,15.49866672,24.55437314,26.73527043,0.077876771,0.099138505,0.082166032,-0.09725322,-0.123746411,0.080040369,0.076999455,-0.300549936,0.126207668,0.255244733,0.893205362,0.976490663,1.496926937,0.500750135,0.514138751,1.073254899,1.058024457,1.033665121,1.008505977,0.97395914,0.42136529,0.432631383,1.18839911,7.977542005,0.417811396,-0.274244613,1.024601291,6.049318023,6.178386414,11.80204011,0.8437749,3.457575387,30.99571429,0.336782458,47.07020374,7.852987082,5.11500745,2.137478209,56.4447463,0.105187559,3,B,18.10661807,40.41650413,pos,2,1,1,TP,1,1,2016
